Blank,Date,Instrument,Location,GCR_Dose_mGy_d,SAA_Dose_mGy_d,Total_Dose_mGy_d,Mission_Milestone
,4/17/2019,REM,LABSSC8,0.15252,0.18703,0.33955,launch
,4/18/2019,REM,LABSSC8,0.15125,0.2657,0.41695,
,4/19/2019,REM,LABSSC8,0.14985,0.21471,0.36456,
,4/20/2019,REM,LABSSC8,0.15291,0.23615,0.38906,
,4/21/2019,REM,LABSSC8,0.14654,0.20516,0.3517,animal_transfer_to_ISS
,4/22/2019,REM,LABSSC8,0.14801,0.21639,0.3644,
,4/23/2019,REM,LABSSC8,0.15066,0.21928,0.36994,
,4/24/2019,REM,LABSSC8,0.14834,0.2286,0.37694,
,4/25/2019,REM,LABSSC8,0.15098,0.21542,0.3664,
,4/26/2019,REM,LABSSC8,0.14946,0.20883,0.35829,
,4/27/2019,REM,LABSSC8,0.14931,0.2223,0.37161,
,4/28/2019,REM,LABSSC8,0.14939,0.21427,0.36366,
,4/29/2019,REM,LABSSC8,0.15267,0.21017,0.36284,
,4/30/2019,REM,LABSSC8,0.15279,0.20357,0.35636,
,5/1/2019,REM,LABSSC8,0.15148,0.23495,0.38643,
,5/2/2019,REM,LABSSC8,0.14954,0.21263,0.36217,
,5/3/2019,REM,LABSSC8,0.14592,0.23538,0.3813,
,5/4/2019,REM,LABSSC8,0.14454,0.20399,0.34853,
,5/5/2019,REM,LABSSC8,0.14523,0.22487,0.3701,
,5/6/2019,REM,LABSSC8,0.1474,0.18564,0.33304,
,5/7/2019,REM,LABSSC8,0.14413,0.23748,0.38161,
,5/8/2019,REM,LABSSC8,0.14452,0.19779,0.34231,
,5/9/2019,REM,LABSSC8,0.14392,0.25182,0.39574,
,5/10/2019,REM,LABSSC8,0.14316,0.19133,0.33449,
,5/11/2019,REM,LABSSC8,0.14675,0.21235,0.3591,
,5/12/2019,REM,LABSSC8,0.14349,0.20509,0.34858,
,5/13/2019,REM,LABSSC8,0.14225,0.20275,0.345,
,5/14/2019,REM,LABSSC8,0.14599,0.19045,0.33644,
,5/15/2019,REM,LABSSC8,0.14229,0.2113,0.35359,sac1
,5/16/2019,REM,LABSSC8,0.14566,0.19904,0.3447,sac2
,5/17/2019,REM,LABSSC8,0.1431,0.20418,0.34728,
,5/18/2019,REM,LABSSC8,0.14506,0.20125,0.34631,
,5/19/2019,REM,LABSSC8,0.14407,0.2106,0.35467,
,5/20/2019,REM,LABSSC8,0.1568,0.20579,0.36259,
,5/21/2019,REM,LABSSC8,0.14866,0.20338,0.35204,sac3
,5/22/2019,REM,LABSSC8,0.14719,0.20955,0.35674,sac4
,5/23/2019,REM,LABSSC8,0.14604,0.20742,0.35346,
